"","Gene","baseMean","log2FoldChange","lfcMLE","lfcSE","stat","pvalue","weight","padj","FoldChange"
"1","GNB5",3335.0557511309,3.47451067042441,3.48051871572466,0.0999453921776517,34.7640906170892,8.48966346343396e-265,0.847542069651867,0.0029790058095933,11.1155749672999
"2","CADM1",5617.32361703694,4.45069122193511,4.46640418667566,0.137549238311377,32.3570764663913,1.10319511037799e-229,0.847542069651867,0.00790149017068546,21.8671185404325
"3","FAXC",353.103672521415,4.26115933390252,4.28421487894194,0.132611206556681,32.132724258724,1.53974125239773e-226,0.809332939322038,0.00790149017068546,19.1750619537179
"4","LRRC49",693.742803305583,2.66704688143731,2.67052377307807,0.0852524362432856,31.2841133809517,7.6752360211018e-215,0.820760162425298,0.00790149017068546,6.35127783354817
"5","KCNAB3",555.525349247639,4.61436562298233,4.62904174951901,0.147533804152198,31.2766667239331,9.69074162871084e-215,0.847542069651867,0.00790149017068546,24.4941550975729
"6","CAMTA1",2041.3939721282,2.95434583268951,2.95725946088857,0.0950436116532193,31.084107403966,3.94975220477037e-212,0.820760162425298,0.00790149017068546,7.75080325908393
"7","NAPB",3889.46946642523,4.21782332019633,4.22034864450197,0.135771510589017,31.0655991223649,7.02439685673767e-212,0.820760162425298,0.00790149017068546,18.6076417383731
"8","GPRIN1",484.810531280718,4.89696040834645,4.9346772850494,0.158840057933667,30.8295053026954,1.05462770575209e-208,0.812805797645415,0.00790149017068546,29.7942165853391
"9","CRMP1",3193.72761868353,4.34402826394914,4.36143658338296,0.142780535115033,30.4245131204286,2.60428238951851e-203,0.812805797645415,0.00790149017068546,20.3087320423458
"10","PGBD5",483.425368259028,4.15858424792202,4.16576700117978,0.136952033843412,30.36526096923,1.58008671381785e-202,0.848057361081753,0.00800795578120625,17.8590600729334
"11","CDS1",618.007849683726,3.81182545444586,3.81886914692986,0.125716294509354,30.3208543436845,6.08832407427226e-202,0.847542069651867,0.00800795578120625,14.043449601562
"12","ANK2",6711.87618210976,3.71069543540317,3.71571101538684,0.122431426707478,30.3083573817124,8.89620407559351e-202,0.848057361081753,0.00790149017068546,13.0927426297724
"13","STK35",6422.49349586806,4.27302281044112,4.28886193930813,0.141322577270462,30.2359530442433,7.98257878984922e-201,0.812805797645415,0.00790149017068546,19.3333911719341
"14","RIMKLA",877.482550159669,5.01776095973085,5.02940847015639,0.166281570011033,30.176290489667,4.84923852182921e-200,0.847542069651867,0.00800795578120625,32.3963856304933
