




Analysis Type:	PANTHER Overrepresentation Test (release 20160715)
Annotation Version and Release Date:	GO Ontology database  Released 2016-12-28
Analyzed List:	DE_pAdj0.05_correction_studyAccession_geneList.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
Bonferroni count:	8404
GO biological process complete	Homo sapiens - REFLIST (20972)	DE_pAdj0.05_correction_studyAccession_geneList.txt (450)	DE_pAdj0.05_correction_studyAccession_geneList.txt (expected)	DE_pAdj0.05_correction_studyAccession_geneList.txt (over/under)	DE_pAdj0.05_correction_studyAccession_geneList.txt (fold Enrichment)	DE_pAdj0.05_correction_studyAccession_geneList.txt (P-value)
synaptic vesicle maturation (GO:0016188)	9	6	.19	+	31.07	4.97E-04
synaptic vesicle docking (GO:0016081)	8	5	.17	+	29.13	8.86E-03
rhodopsin mediated signaling pathway (GO:0016056)	14	7	.30	+	23.30	2.71E-04
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	20	9	.43	+	20.97	7.23E-06
phototransduction, visible light (GO:0007603)	20	8	.43	+	18.64	1.55E-04
GMP metabolic process (GO:0046037)	20	7	.43	+	16.31	2.95E-03
regulation of rhodopsin mediated signaling pathway (GO:0022400)	26	9	.56	+	16.13	6.85E-05
glutamate secretion (GO:0014047)	29	10	.62	+	16.07	1.05E-05
phototransduction (GO:0007602)	42	13	.90	+	14.43	1.30E-07
regulation of synaptic vesicle exocytosis (GO:2000300)	24	7	.51	+	13.59	9.82E-03
detection of light stimulus (GO:0009583)	58	16	1.24	+	12.86	3.28E-09
detection of visible light (GO:0009584)	43	11	.92	+	11.92	3.37E-05
photoreceptor cell development (GO:0042461)	43	11	.92	+	11.92	3.37E-05
vesicle docking involved in exocytosis (GO:0006904)	36	9	.77	+	11.65	1.06E-03
regulation of calcium ion-dependent exocytosis (GO:0017158)	74	18	1.59	+	11.34	9.04E-10
synaptic vesicle exocytosis (GO:0016079)	76	18	1.63	+	11.04	1.40E-09
photoreceptor cell differentiation (GO:0046530)	55	13	1.18	+	11.02	3.37E-06
regulation of synaptic vesicle transport (GO:1902803)	34	8	.73	+	10.97	8.33E-03
calcium ion regulated exocytosis (GO:0017156)	85	19	1.82	+	10.42	8.14E-10
positive regulation of regulated secretory pathway (GO:1903307)	45	10	.97	+	10.36	6.27E-04
synaptic vesicle cycle (GO:0099504)	102	22	2.19	+	10.05	1.84E-11
neural retina development (GO:0003407)	53	11	1.14	+	9.67	2.78E-04
neurotransmitter secretion (GO:0007269)	116	24	2.49	+	9.64	2.41E-12
signal release from synapse (GO:0099643)	116	24	2.49	+	9.64	2.41E-12
vesicle docking (GO:0048278)	58	12	1.24	+	9.64	6.85E-05
calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)	40	8	.86	+	9.32	2.73E-02
presynaptic process involved in chemical synaptic transmission (GO:0099531)	121	24	2.60	+	9.24	6.02E-12
eye photoreceptor cell differentiation (GO:0001754)	46	9	.99	+	9.12	7.98E-03
guanosine-containing compound metabolic process (GO:1901068)	46	9	.99	+	9.12	7.98E-03
positive regulation of exocytosis (GO:0045921)	79	15	1.70	+	8.85	3.00E-06
synaptic vesicle transport (GO:0048489)	116	22	2.49	+	8.84	2.38E-10
vesicle-mediated transport in synapse (GO:0099003)	116	22	2.49	+	8.84	2.38E-10
establishment of synaptic vesicle localization (GO:0097480)	116	22	2.49	+	8.84	2.38E-10
synaptic vesicle localization (GO:0097479)	118	22	2.53	+	8.69	3.33E-10
neurotransmitter transport (GO:0006836)	158	28	3.39	+	8.26	3.79E-13
membrane docking (GO:0022406)	74	13	1.59	+	8.19	1.11E-04
regulation of neuronal synaptic plasticity (GO:0048168)	52	9	1.12	+	8.07	2.15E-02
neuron-neuron synaptic transmission (GO:0007270)	59	10	1.27	+	7.90	7.22E-03
regulation of regulated secretory pathway (GO:1903305)	120	20	2.57	+	7.77	3.55E-08
regulation of neurotransmitter secretion (GO:0046928)	55	9	1.18	+	7.63	3.37E-02
retina development in camera-type eye (GO:0060041)	141	23	3.03	+	7.60	1.34E-09
regulation of neurotransmitter transport (GO:0051588)	68	11	1.46	+	7.54	3.24E-03
regulation of exocytosis (GO:0017157)	176	28	3.78	+	7.41	5.48E-12
regulation of neurotransmitter levels (GO:0001505)	202	32	4.33	+	7.38	4.96E-14
detection of external stimulus (GO:0009581)	120	18	2.57	+	6.99	2.22E-06
signal release (GO:0023061)	181	27	3.88	+	6.95	8.32E-11
detection of abiotic stimulus (GO:0009582)	123	18	2.64	+	6.82	3.26E-06
positive regulation of synaptic transmission (GO:0050806)	111	16	2.38	+	6.72	3.80E-05
visual perception (GO:0007601)	211	30	4.53	+	6.63	9.26E-12
regulation of synaptic plasticity (GO:0048167)	149	21	3.20	+	6.57	2.22E-07
sensory perception of light stimulus (GO:0050953)	214	30	4.59	+	6.53	1.33E-11
dicarboxylic acid transport (GO:0006835)	72	10	1.54	+	6.47	4.13E-02
acid secretion (GO:0046717)	80	11	1.72	+	6.41	1.54E-02
regulation of receptor-mediated endocytosis (GO:0048259)	82	11	1.76	+	6.25	1.94E-02
adult locomotory behavior (GO:0008344)	87	11	1.87	+	5.89	3.39E-02
establishment of vesicle localization (GO:0051650)	232	29	4.98	+	5.83	6.79E-10
eye morphogenesis (GO:0048592)	144	18	3.09	+	5.83	3.70E-05
microtubule-based transport (GO:0099111)	105	13	2.25	+	5.77	5.76E-03
transport along microtubule (GO:0010970)	105	13	2.25	+	5.77	5.76E-03
locomotory behavior (GO:0007626)	199	24	4.27	+	5.62	2.01E-07
